bacteria,host_o_antigen_type,host_o_antigen_score,host_lps_core_type,host_receptor_btub_score,host_receptor_fadL_score,host_receptor_fhua_score,host_receptor_lamB_score,host_receptor_lptD_score,host_receptor_nfrA_score,host_receptor_ompA_score,host_receptor_ompC_score,host_receptor_ompF_score,host_receptor_tolC_score,host_receptor_tsx_score,host_receptor_yncD_score,host_capsule_profile_kfia_score,host_capsule_profile_kfib_score,host_capsule_profile_kfic_score,host_capsule_profile_kfid_score,host_capsule_profile_kfoa_score,host_capsule_profile_kfob_score,host_capsule_profile_kfoc_score,host_capsule_profile_kfod_score,host_capsule_profile_kfoe_score,host_capsule_profile_kfof_score,host_capsule_profile_kfog_score,host_capsule_profile_kpsc_score,host_capsule_profile_kpsc_2_score,host_capsule_profile_kpsd_score,host_capsule_profile_kpse_score,host_capsule_profile_kpse_2_score,host_capsule_profile_kpsf_score,host_capsule_profile_kpsm_score,host_capsule_profile_kpsm_2_score,host_capsule_profile_kpss_score,host_capsule_profile_kpst_score,host_capsule_profile_kpst_2_score,host_capsule_profile_kpsu_score,host_capsule_profile_neu_score,host_capsule_profile_neua_score,host_capsule_profile_neub_score,host_capsule_profile_neud_score,host_capsule_profile_neue_score,host_capsule_profile_neus_score,host_capsule_profile_rmla_score,host_capsule_profile_rmlb_score,host_capsule_profile_rmlc_score,host_capsule_profile_rmld_score,host_capsule_profile_wckc_score,host_capsule_profile_wcke_score,host_capsule_profile_wckf_score,host_capsule_profile_wckg_score,host_capsule_profile_wckh_score,host_capsule_profile_wcki_score,host_capsule_profile_cluster_19_score,host_capsule_profile_cluster_20_score,host_capsule_profile_cluster_23_score,host_capsule_profile_cluster_25_score,host_capsule_profile_cluster_26_score,host_capsule_profile_cluster_27_score,host_capsule_profile_cluster_28_score,host_capsule_profile_cluster_29_score,host_capsule_profile_cluster_32_score,host_capsule_profile_cluster_39_score,host_capsule_profile_cluster_40_score,host_capsule_profile_cluster_42_score,host_capsule_profile_cluster_43_score,host_capsule_profile_cluster_44_score,host_capsule_profile_cluster_45_score,host_capsule_profile_cluster_47_score,host_capsule_profile_cluster_48_score,host_capsule_profile_cluster_49_score,host_capsule_profile_cluster_51_score,host_capsule_profile_cluster_52_score,host_capsule_profile_cluster_53_score,host_capsule_profile_cluster_54_score,host_capsule_profile_cluster_55_score,host_capsule_profile_cluster_56_score,host_capsule_profile_cluster_57_score,host_capsule_profile_cluster_58_score,host_capsule_profile_cluster_59_score,host_capsule_profile_cluster_60_score,host_capsule_profile_cluster_61_score,host_capsule_profile_cluster_62_score,host_capsule_profile_cluster_63_score,host_capsule_profile_cluster_64_score,host_capsule_profile_cluster_65_score,host_capsule_profile_cluster_66_score,host_capsule_profile_cluster_67_score,host_capsule_profile_cluster_72_score,host_capsule_profile_cluster_73_score,host_capsule_profile_cluster_74_score,host_capsule_profile_cluster_75_score,host_capsule_profile_cluster_76_score,host_capsule_profile_cluster_77_score,host_capsule_profile_cluster_78_score,host_capsule_profile_cluster_79_score,host_capsule_profile_cluster_80_score,host_capsule_profile_cluster_83_score,host_capsule_profile_cluster_84_score,host_capsule_profile_cluster_85_score,host_capsule_profile_cluster_86_score,host_capsule_profile_cluster_87_score,host_capsule_profile_cluster_88_score,host_capsule_profile_cluster_89_score,host_capsule_profile_cluster_90_score,host_capsule_profile_cluster_91_score,host_capsule_profile_cluster_92_score,host_capsule_profile_cluster_93_score,host_capsule_profile_cluster_94_score,host_capsule_profile_cluster_95_score,host_capsule_profile_cluster_97_score,host_capsule_profile_cluster_98_score,host_capsule_profile_cluster_99_score
536,O6,964.918823,R1,1384.258545,1007.841797,1707.84314,1017.169128,1822.303467,2224.235107,779.344055,775.059937,788.870117,1043.168213,680.180847,1580.383301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.61937,0.0,0.0,0.0,0.0,49.839581,25.958597,0.0,0.0,0.0,0.0,0.0,0.0,20.402241,527.62439,75.483543,18.619699,0.0,559.469177,0.0,24.576624,0.0,0.0,0.0,0.0,53.642284,429.26355,697.32373,43.388737,1028.126953,502.584869,779.529602,759.923401,744.918274,0.0,0.0,0.0,0.0,0.0,33.649139,0.0,49.581947,0.0,0.0,17.375666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.497681,0.0,0.0,48.766861,0.0,0.0
55989,O104,881.41394,R3,1408.967896,1011.639893,1717.422729,1018.477173,1836.475586,2228.585449,791.731018,775.269897,800.040161,1045.020996,691.688721,1601.249756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,52.928928,0.0,0.0,0.0,0.0,129.833328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.70034,527.227722,75.801537,0.0,0.0,564.037659,0.0,24.636633,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,42.688847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.486916,0.0,47.681198,0.0,0.0,70.112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.715439,0.0,0.0
916A,O16,231.715408,,748.497314,998.627197,1227.592529,1018.898621,1811.007812,2219.701416,756.636597,743.909973,797.481567,1043.168213,690.763367,1580.306519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.805073,53.299835,0.0,0.0,0.0,0.0,49.158058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.947327,75.504166,18.619699,0.0,560.365479,0.0,24.629187,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,42.30899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.024292,0.0,32.671165,0.0,47.776352,0.0,0.0,24.945181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921A,O16,231.715408,,748.497314,998.627197,1227.592529,1021.287537,1836.475586,2219.701416,756.636597,743.909973,797.481567,1043.168213,690.763367,1580.306519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.805073,53.299835,0.0,0.0,0.0,0.0,49.090084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.947327,75.504166,18.619699,0.0,560.365479,0.0,24.629187,0.0,0.0,0.0,0.0,49.520523,0.0,0.0,42.204155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.671165,0.0,47.776352,0.0,0.0,24.945181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL505,O1,840.322327,R1,1384.172852,994.856995,1707.84314,1018.898621,1798.280762,2220.063721,785.938843,776.786255,788.870117,1043.168213,678.76825,1583.920532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.805073,55.61937,0.0,0.0,0.0,0.0,47.233273,21.899082,0.0,0.0,0.0,0.0,0.0,0.0,19.412785,527.883301,75.277939,18.619699,0.0,560.919983,0.0,62.052013,0.0,0.0,0.0,0.0,53.710827,532.041809,0.0,72.402824,253.604019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.649139,0.0,47.799351,0.0,0.0,17.45149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.958706,0.0,0.0,25.324104,0.0,0.0
AN03,O24,738.474548,R4,1211.561035,996.003296,1227.535278,1021.287537,1821.21106,1313.777466,779.307617,743.856628,481.311157,1043.168213,691.688721,1582.455811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,63.422726,0.0,0.0,0.0,0.0,46.442146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.203197,527.62439,75.304329,18.619699,0.0,560.365479,0.0,24.636633,0.0,0.0,0.0,0.0,49.520523,145.489349,0.0,42.310207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.973633,0.0,34.518867,0.0,49.942272,0.0,0.0,47.808228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.225479,0.0,0.0
AN17,O6,964.918823,R1,1386.031616,756.708618,1532.974609,1021.287537,1823.706421,2222.256592,754.269226,737.957458,788.870117,1043.168213,680.180847,1590.494141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.805073,63.422726,0.0,0.0,0.0,0.0,49.839581,20.634695,0.0,0.0,0.0,0.0,0.0,0.0,19.412785,527.62439,75.277939,18.619699,296.751526,560.792603,0.0,24.629187,0.0,0.0,0.0,0.0,53.710827,534.70752,0.0,43.388737,259.015472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.810333,33.649139,0.0,49.942272,903.937012,365.635895,17.375666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.497681,0.0,0.0,35.391483,0.0,0.0
AN24,O9,980.172241,R1,1411.180908,1014.23468,1717.422729,1038.901978,1836.0802,2248.198242,791.731018,818.425659,800.040161,1045.020996,691.688721,1609.215698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,50.327496,0.0,0.0,0.0,0.0,48.513008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.631456,526.932678,75.756332,0.0,0.0,561.95166,0.0,24.636633,0.0,0.0,0.0,0.0,37.532436,19.621449,17.987902,43.505104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.284912,0.0,33.486916,0.0,48.461514,0.0,0.0,48.220844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.324104,0.0,0.0
ATCC35469T,O83,155.669159,R1,1227.17627,749.776123,1222.910767,982.722412,1710.496582,1558.424805,762.637634,725.994568,740.472656,1015.604858,672.437744,1591.394897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.583084,55.203033,0.0,0.0,0.0,0.0,106.630905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.572933,527.483276,74.998108,0.0,0.0,562.578186,0.0,18.821991,0.0,0.0,0.0,0.0,51.954765,18.535082,0.0,22.112476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.308979,0.0,51.673573,0.0,0.0,34.110237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.809425,0.0,0.0
Asp51g,O7,335.752808,R1,1382.363159,758.758362,1533.292847,1021.287537,1821.907959,2214.790771,781.974365,776.503235,797.481567,1043.168213,680.180847,1582.196655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.579449,55.515526,0.0,0.0,0.0,0.0,43.122353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.62439,75.579956,18.619699,0.0,560.792603,0.0,24.881948,0.0,0.0,0.0,0.0,49.405289,0.0,0.0,38.548199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.649139,0.0,49.581947,0.0,0.0,36.158207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
